,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
359,359,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,Partial Optimal Transport with applications on Positive-Unlabeled Learning.
360,360,Joel Veness,DeepMind,Alan Blair,None,Assisted Learning: A Framework for Multi-Organization Learning.
361,361,Shuai Huang,Arizona State University,Jieping Ye,Arizona State University,Learning Disentangled Representations and Group Structure of Dynamical Environments.
362,362,Stephen Gould,ANU,Daphne Koller,insitro,Posterior Network: Uncertainty Estimation without OOD Samples via Density-Based Pseudo-Counts.
363,363,Marius Leordeanu,None,Rahul Sukthankar,Intel Labs and CMU,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.
364,364,Erik Sudderth,Brown University,Erik Sudderth,Brown University,Improving Natural Language Processing Tasks with Human Gaze-Guided Neural Attention.
365,365,Marco Cuturi,Google Brain  &  CREST - ENSAE,Alexandre d'Aspremont,CNRS - ENS,COBE: Contextualized Object Embeddings from Narrated Instructional Video.
366,366,Mario J Fritz,MPI Informatics,Trevor Darrell,UC Berkeley,Beyond Homophily in Graph Neural Networks: Current Limitations and Effective Designs.
367,367,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Evolving Graphical Planner: Contextual Global Planning for Vision-and-Language Navigation.
368,368,Vinayak Rao,Purdue University,Yee Whye Teh,"University of Oxford, DeepMind",Can Q-Learning with Graph Networks Learn a Generalizable Branching Heuristic for a SAT Solver?.
369,369,Sundeep Rangan,Qualcomm,Vivek K Goyal,Massachusetts Institute of Technology,Probably Approximately Correct Constrained Learning.
370,370,Vinod Nair,University of Toronto,Geoffrey E Hinton,Google & University of Toronto,Sharp uniform convergence bounds through empirical centralization.
371,371,Alexandre Bouchard-Côté,UBC,Dan Klein,UC Berkeley,Interpolation Technique to Speed Up Gradients Propagation in Neural ODEs.
372,372,Lei ShiUpdateMe,"University of California, Berkeley",Tom Griffiths,Princeton,Gaussian Gated Linear Networks.
373,373,Mario J Fritz,MPI Informatics,Trevor Darrell,UC Berkeley,BayReL: Bayesian Relational Learning for Multi-omics Data Integration.
374,374,Garvesh Raskutti,SAMSI,Bin Yu,None,Manifold structure in graph embeddings.
375,375,Odalric-Ambrym Maillard,INRIA,Remi Munos,Google DeepMind,GAIT-prop: A biologically plausible learning rule derived from backpropagation of error.
376,376,Jonathan Huang,google.com,Carlos Guestrin,University of Washington,Learning to Learn with Feedback and Local Plasticity.
377,377,Alekh Agarwal,UC Berkeley,Martin J Wainwright,UC Berkeley,A Theoretical Framework for Target Propagation.
378,378,Hamed Valizadegan,Michigan State University,Jianchang Mao,Yahoo! Labs,Inductive Quantum Embedding.
