,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
79,79,Rakesh Shivanna,Male,Google Inc.,Francis Bach,Male,INRIA - ENS,Spectral Norm Regularization of Orthonormal Representations for Graph Transduction.
80,80,Ilias Diakonikolas,Male,University of Edinburgh,Ludwig Schmidt,Male,MIT,Differentially Private Learning of Structured Discrete Distributions.
81,81,Huitong Qiu,Male,Johns Hopkins University,Brian Caffo,Male,,Robust Portfolio Optimization.
82,82,Kenji Kawaguchi,Male,MIT,Tomás Lozano-Pérez,Male,MIT,Bayesian Optimization with Exponential Convergence.
83,83,Ahmed Alaoui,Male,UC Berkeley,Michael W Mahoney,Male,UC Berkeley,Fast Randomized Kernel Ridge Regression with Statistical Guarantees.
84,84,Christopher M De Sa,Male,Stanford,Chris Ré,Male,Stanford,Taming the Wild: A Unified Analysis of Hogwild-Style Algorithms.
85,85,Elad Hazan,Male,Princeton University,Shai Shalev-Shwartz,Male,Hebrew University,Beyond Convexity: Stochastic Quasi-Convex Optimization.
86,86,Andrea Montanari,Male,Stanford,Ofer Zeitouni,Male,Weizmann Institute and Courant Institute,On the Limitation of Spectral Methods: From the Gaussian Hidden Clique Problem to Rank-One Perturbations of Gaussian Tensors.
87,87,Xinyang Yi,Male,Utaustin,Constantine Caramanis,Male,UT Austin,Regularized EM Algorithms: A Unified Framework and Statistical Guarantees.
88,88,Jean-Bastien Grill,Male,INRIA Lille - Nord Europe,Remi Munos,Male,Google DeepMind,Black-box optimization of noisy functions with unknown smoothness.
89,89,Branislav Kveton,Male,Adobe Research,Csaba Szepesvari,Male,University of Alberta,Combinatorial Cascading Bandits.
90,90,Tom Goldstein,Male,University of Maryland,Xiaoming Yuan,Male,Hong Kong Baptist University,Adaptive Primal-Dual Splitting Methods for Statistical Learning and Image Processing.
91,91,Tengyu Ma,Male,Princeton University,Avi Wigderson,Male,Institute for Advanced Study,Sum-of-Squares Lower Bounds for Sparse PCA.
92,92,Alina Beygelzimer,Female,Yahoo Labs,Haipeng Luo,Male,Princeton University,Online Gradient Boosting.
93,93,Martin Slawski,Male,Rutgers University,Matthias Hein,Male,Saarland University,Regularization-Free Estimation in Trace Regression with Symmetric Positive Semidefinite Matrices.
94,94,Rafael Frongillo,Male,CU Boulder,Mark Reid,Male,Australia National University,Convergence Analysis of Prediction Markets via Randomized Subspace Descent.
95,95,Huan Li,Male,Peking University,Zhouchen Lin,Male,Peking University,Accelerated Proximal Gradient Methods for Nonconvex Programming.
96,96,Kunal Talwar,Male,Google,Li Zhang,Female,Google,Nearly Optimal Private LASSO.
97,97,Wouter Koolen,Male,Centrum Wiskunde & Informatica,Yasin Abbasi Yadkori,Male,Queensland University of Technology,Minimax Time Series Prediction.
98,98,Yossi Arjevani,Male,The Weizmann Institute,Ohad Shamir,Male,Weizmann Institute of Science,Communication Complexity of Distributed Convex Learning and Optimization.
,,,,,,,,
